"","City","Average_Rating"
"233620","Cavelossim",4.50561797752809
"233630","Caranzalem",3.5
"233653","Carmona",4.66666666666667
"235584","Chaibasa",4.1875
"235616","Chakrata",4.27891156462585
"235756","Chalakudy",4.35887096774194
"236018","Chamarajanagar",4.16666666666667
"236186","Chamba",4.22709163346614
"237700","Chamoli",4.1610541727672
"238369","Champaner",4.00836820083682
"238606","Champawat",3.88461538461538
"238666","Champhai",3.3
"238677","Chandannagar",4.34653465346535
"238690","Chamrajnagar",5
"238785","Chandauli",4.75
"238805","Chanderi",3.99193548387097
"238941","Chandigarh",4.39065158642778
"240326","Panchkula",4.36241610738255
"240559","Zirakpur",4.2265625
"241658","Ramgarh",4.50267379679144
"249389","Chandipur",3.91379310344828
"249462","Chandor",4.12037037037037
"249571","Chandrapur",3.9
"249593","Chandragutti",3.66666666666667
"249677","Changanacherry",4.15
"249705","Changlang",3.03846153846154
"249719","Channapatna",4.24463519313305
"249896","Channarayapatna",4.02403846153846
"250152","Chapora",4.23945147679325
"250212","Chapagaon",5
"251085","Chatra",4
"251105","Chaukori",4.71428571428571
"251119","Chelamattom part",4.14285714285714
"251130","Chendamangalam",4.06
"251187","Chengalpattu",4.23333333333333
"251204","Chengannur",3.875
"251253","Chennai",4.17072575726774
"275846","Vypin Island",4.40549828178694
"276244","Sohra",4.12985118179165
"279743","Cherthala",3.70967741935484
"279783","Cheyyar",3.7
"279791","Cheruthuruthi",5
"279793","Chettikulam",4
"279796","Chhatarpur",4.39087947882736
"279840","Chhachhrauli",1.66666666666667
"280106","Chhindwara",4.16666666666667
"280113","Chhatikara",3.85714285714286
"280154","Chidambaram",4.24237804878049
"280192","Chicolna",4.66666666666667
"280831","Chikhaldara",4.04878048780488
"280926","Chikkaballapur",4.27666151468315
"280980","Chikka Madhure",4.28571428571429
"282194","Chikmagalur",4.15618908382066
"286181","Halebid",4.23694267515924
"286368","Chinchoti",4.46808510638298
"286428","Chinnamanur",4
"286431","Chiplun",4.2520325203252
"286434","Chindi",5
"286439","Chinsurah",4.5
"286456","Chintamani",4
"286468","Chintpurni",3.66666666666667
"286541","Chirala",4.45333333333333
"286626","Chitkul",4.42857142857143
"286692","Chitradurga",4.12715517241379
"287160","Chitrakoot",4.06578947368421
"287447","Chittaurgarh",4.01719645648775
"289393","Chittoor",4.26444444444444
"289833","Chopdem",4.57142857142857
"289840","Chittorgarh",4
"289841","Chowara",4.32941176470588
"289880","Chopta",4.77777777777778
"289890","Chorla",4
"289894","Chorwad",4
"289945","Chundale",4.775
"289953","Chumathang",3.41666666666667
"290075","Churu",4.08571428571429
"290094","Chuntang",4.5
"290105","Churachandpur",3.6
"290142","Coimbatore",4.27705627705628
"295702","Cola",3.87037037037037
"295749","Colva",4.40083289953149
"297674","Cooch Behar",4.11363636363636
"297694","Contai",3
"297857","Coonoor",4.21017274472169
"300981","Cortalim",4.33333333333333
"300990","Courtallam",4.03004291845494
"301192","Covelong",4.42138364779874
"301345","Cuddalore",4.17543859649123
"301553","Cuncolim",4.55813953488372
"301578","Cumbum",4.4
"301598","Cuttack",4.16210526315789
"301609","Maina",5
"302081","Dabaspete",4.17610062893082
"302243","Dabguli",4.25744680851064
"302689","Dabhoi",3.94594594594595
"302724","Dabolim",4.78765880217786
"303307","Dahanu",4.42603550295858
"303465","Dahod",4.1875
"303481","Dakor",4.02564102564103
